CHR,BP,ID,Type,Ortholog ID,Function
Cexcelsa_scaf_1,15099490,g13319.,gene,AT3G18750.3,"Note=with no lysine (K) kinase 6: curator_summary=Encodes a member of the WNK family (9 members in all) of protein kinases, the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases. Its transcription is under the control of circadian rhythms.: symbol=WNK6: full_name=with no lysine (K) kinase 6: computational_description=with no lysine (K) kinase 6: conf_class=2: conf_rating=****: conf_class=1: conf_rating=*****: conf_class=3: "
Cexcelsa_scaf_1,15680680,g13461.,gene,AT3G23255.2,Note=None: conf_class=2: computational_description=tRNA dimethylallyltransferase: conf_rating=****: symbol=None: curator_summary=None: conf_class=4: conf_rating=***: 
Cexcelsa_scaf_1,34176848,g15804.,gene,AT4G23160.2,full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
Cexcelsa_scaf_1,34193647,g15808.,gene,AT4G23160.2,full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
Cexcelsa_scaf_1,34217632,g15810.,gene,AT4G23160.2,full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
Cexcelsa_scaf_1,40313376,g17141.,gene,AT4G26120.2,Note=None: conf_class=2: computational_description=Ankyrin repeat family protein / BTB/POZ domain-containing protein: conf_rating=****: symbol=None: curator_summary=: 
Cexcelsa_scaf_1,48640639,g18703.,gene,AT3G63450.4,Note=RNA-binding (RRM/RBD/RNP motifs) family protein: conf_class=2: computational_description=RNA-binding (RRM/RBD/RNP motifs) family protein: conf_rating=****: symbol=None: curator_summary=None: conf_class=3: 
Cexcelsa_scaf_1,48652532,g18705.,gene,AT3G63470.1,Note=serine carboxypeptidase-like 40: symbol=scpl40: full_name=serine carboxypeptidase-like 40: computational_description=serine carboxypeptidase-like 40: conf_class=2: conf_rating=****: curator_summary=None: 
Cexcelsa_scaf_1,48923122,g18780.,gene,AT3G63280.4,"full_name=NIMA-related kinase 4: Note=None: curator_summary=Encodes AtNek4, a member of the NIMA-related serine/threonine kinases (Neks) that have been linked to cell-cycle regulation in fungi and mammals.  Plant Neks might be involved in plant development processes.: conf_class=2: symbol=None: computational_description=NIMA-related kinase 4: conf_rating=****: "
Cexcelsa_scaf_1,49113354,g18836.,gene,AT3G60290.1,Note=2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein: conf_class=2: computational_description=2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein: conf_rating=****: symbol=None: curator_summary=None: 
Cexcelsa_scaf_1,49349159,g18903.,gene,AT3G59220.1,Note=pirin: curator_summary=encodes a cupin-domain containing protein that is similar to pirins which interact with a CCAAT box binding transcription factor. The protein interacts with GPA1 (G protein alpha-subunit) in vitro. Mutants in the gene are affected in germination and early seedling development.: symbol=PRN: full_name=pirin: computational_description=pirin: conf_class=2: conf_rating=****: 
Cexcelsa_scaf_1,49583821,g18966.,gene,AT3G58050.2,Note=None: conf_class=6: computational_description=hypothetical protein: conf_rating=**: symbol=None: curator_summary=: 
Cexcelsa_scaf_1,50115860,g19108.,gene,AT3G55270.1,"Note=mitogen-activated protein kinase phosphatase 1: curator_summary=Encodes MAP kinase phosphatase 1 (MKP1).  Loss of MKP1 results in hypersensitivity to acute UV-B stress, but without impairing UV-B acclimation.: symbol=MKP1: full_name=mitogen-activated protein kinase phosphatase 1: computational_description=mitogen-activated protein kinase phosphatase 1: conf_class=2: conf_rating=****: "
Cexcelsa_scaf_1,50395734,g19195.,gene,AT3G53460.4,Note=chloroplast RNA-binding protein 29: curator_summary=Encodes a nuclear gene with a consensus RNA-binding domain that is localized to the chloroplast.: symbol=CP29A: full_name=chloroplast RNA-binding protein 29: computational_description=chloroplast RNA-binding protein 29: conf_class=2: conf_rating=****: conf_class=6: conf_rating=**: 
Cexcelsa_scaf_1,50465510,g19212.,gene,AT1G06720.2,Note=None: conf_class=3: computational_description=P-loop containing nucleoside triphosphate hydrolases superfamily protein: conf_rating=****: symbol=None: curator_summary=: 
Cexcelsa_scaf_1,50630456,g19250.,gene,AT3G52450.1,Note=plant U-box 22: curator_summary=Encodes a cytoplasmically localized U-box domain E3 ubiquitin ligase protein that is involved in the response to water stress and acts as a negative regulator of PAMP-triggered immunity.: symbol=PUB22: full_name=plant U-box 22: computational_description=plant U-box 22: conf_class=1: conf_rating=*****: 
Cexcelsa_scaf_1,50809912,g19297.,gene,AT3G51610.1,Note=None: curator_summary=Encodes a membrane protein NO PRIMEXINE AND PLASMA MEMBRANE UNDULATION (NPU). Involved in primexine deposition and plasma membrane undulation during early pollen wall development.: symbol=NPU: full_name=NO PRIMEXINE AND PLASMA MEMBRANE UNDULATION: computational_description=ATP-dependent helicase/deoxyribonuclease subunit B: conf_class=2: conf_rating=****: 
Cexcelsa_scaf_1,50824570,g19305.,gene,AT3G51550.1,"Note=Malectin/receptor-like protein kinase family protein: curator_summary=Encodes a synergid-expressed, plasma-membrane localized receptor-like kinase that accumulates asymetrically in the synergid membrnane at the filiform apparatus and mediates male-female gametophyte interactions during pollen tube reception.  Also involved in powdery mildew infection. Mutants show faster root elongation under dim light, the protein is required for intracellular accumulation of AHA2 under dim-light growth conditions. Positively regulates flowering by modulating the transcript accumulation and mRNA alternative splicing of certain flowering-related genes, including FLOWERING LOCUS C (FLC) and its homolog MADS AFFECTING FLOWERING (MAF). However, the RALF1 ligand negatively regulates flowering compared with FER.: symbol=FER: full_name=FERONIA: computational_description=Malectin/receptor-like protein kinase family protein: conf_class=2: conf_rating=****: "
Cexcelsa_scaf_5,28858272,g28485.,gene,AT5G54540.1,Note=Uncharacterised conserved protein (UCP012943): conf_class=2: computational_description=Uncharacterized conserved protein (UCP012943): conf_rating=****: symbol=None: curator_summary=None: 
Cexcelsa_scaf_5,29080210,g28548.,gene,AT5G56190.7,Note=None: conf_class=2: computational_description=Transducin/WD40 repeat-like superfamily protein: conf_rating=****: symbol=None: curator_summary=: 
Cexcelsa_scaf_5,29680814,g28693.,gene,AT5G58240.1,Note=FRAGILE HISTIDINE TRIAD: curator_summary=Encodes a Fhit protein. Has nucleoside phosphoramidase and adenylylsulfatase activities.: symbol=FHIT: full_name=FRAGILE HISTIDINE TRIAD: computational_description=FRAGILE HISTIDINE TRIAD: conf_class=2: conf_rating=****: 
Cexcelsa_scaf_5,33177545,g29666.,gene,AT5G06600.1,"Note=ubiquitin-specific protease 12: curator_summary=Encodes a ubiquitin-specific protease which together with UBP13 deubiquitinates DA1, DAR1 and DAR2, hence reducing their peptidase activity. Works upstream of DA1, DAR1 and DAR2 to restrict their protease activity and hence fine-tune plant growth and development.: symbol=UBP12: full_name=ubiquitin-specific protease 12: computational_description=ubiquitin-specific protease 12: conf_class=2: conf_rating=****: "
Cexcelsa_scaf_3,163764,g30748.,gene,AT1G01340.2,"Note=cyclic nucleotide gated channel 10: curator_summary=member of Cyclic nucleotide gated channel family, regulated by Bacillus amyloliquefaciens under high calcium stress.: symbol=CNGC10: full_name=cyclic nucleotide gated channel 10: computational_description=cyclic nucleotide gated channel 10: conf_class=1: conf_rating=*****: conf_class=6: conf_rating=**: "
Cexcelsa_scaf_3,2948243,g31554.,gene,AT1G14790.1,"Note=RNA-dependent RNA polymerase 1: curator_summary=Encodes RNA-dependent RNA polymerase.   While not required for virus-induced post-transcriptional gene silencing (PTGS), it can promote turnover of viral RNAs in infected plants. Nomenclature according to Xie, et al. (2004). Involved in the production of Cucumber Mosaic Virus siRNAs.: symbol=RDR1: full_name=RNA-dependent RNA polymerase 1: computational_description=RNA-dependent RNA polymerase 1: conf_class=1: conf_rating=*****: "
Cexcelsa_scaf_3,4317685,g31967.,gene,AT1G21100.1,"Note=O-methyltransferase family protein: symbol=IGMT1: full_name=indole glucosinolate O-methyltransferase 1: computational_description=O-methyltransferase family protein: conf_class=2: conf_rating=****: curator_summary=Indole glucosinolate O-methyltransferase, involved in the conversion of indole-3-ylmethyl glucosinolate (I3G) to 4MI3G.: "
Cexcelsa_scaf_3,7569397,g32691.,gene,AT4G22390.1,Note=F-box associated ubiquitination effector family protein: conf_class=2: computational_description=F-box associated ubiquitination effector family protein: conf_rating=****: symbol=None: curator_summary=None: 
Cexcelsa_scaf_3,11797264,g33430.,gene,AT5G02880.1,Note=ubiquitin-protein ligase 4: curator_summary=encodes a ubiquitin-protein ligase containing a HECT domain. There are six other HECT-domain UPLs in Arabidopsis. The mRNA is cell-to-cell mobile.: symbol=UPL4: full_name=ubiquitin-protein ligase 4: computational_description=ubiquitin-protein ligase 4: conf_class=2: conf_rating=****: 
Cexcelsa_scaf_3,11804177,g33432.,gene,AT4G23160.2,full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
Cexcelsa_scaf_3,41496807,g38122.,gene,AT2G39260.1,Note=binding: computational_description=regulator of nonsense transcripts UPF2: conf_class=2: conf_rating=****: symbol=UPF2: curator_summary=Nonsense mediated decay (NMD)factor.: 
Cexcelsa_scaf_3,41506447,g38124.,gene,AT2G39350.1,"Note=ABC-2 type transporter family protein: curator_summary=Belongs to a clade of five Arabidopsis thaliana ABCG half-transporters that are required for synthesis of an effective suberin barrier in roots and seed coats (ABCG2, ABCG6, and ABCG20) and for synthesis of an intact pollen wall (ABCG1 and ABCG16).: symbol=ABCG1: full_name=ATP-binding cassette G1: computational_description=ABC-2 type transporter family protein: conf_class=1: conf_rating=*****: "
Cexcelsa_scaf_3,43340369,g38527.,gene,AT2G21520.3,Note=Sec14p-like phosphatidylinositol transfer family protein: conf_class=4: computational_description=Sec14p-like phosphatidylinositol transfer family protein: conf_rating=***: symbol=None: curator_summary=None: conf_class=2: conf_rating=****: 
Cexcelsa_scaf_2,4001813,g40268.,gene,AT4G09680.1,Note=conserved telomere maintenance component 1: curator_summary=Encodes CTC1 (Conserved Telomere Maintenance Component 1) involved in telomere maintenance.: symbol=CTC1: full_name=conserved telomere maintenance component 1: computational_description=conserved telomere maintenance component 1: conf_class=6: conf_rating=**: conf_class=2: conf_rating=****: 
Cexcelsa_scaf_2,4113991,g40302.,gene,AT4G10310.1,Note=high-affinity K+ transporter 1: curator_summary=encodes a sodium transporter (HKT1) expressed in xylem parenchyma cells. Mutants over-accumulate sodium in shoot tissue and have increased sodium in the xylem sap and reduced sodium in phloem sap and roots.: symbol=HKT1: full_name=high-affinity K+ transporter 1: computational_description=high-affinity K+ transporter 1: conf_class=2: conf_rating=****: 
Cexcelsa_scaf_2,24951067,g43710.,gene,AT2G38430.1,Note=None: conf_class=1: computational_description=hypothetical protein: conf_rating=*****: symbol=None: curator_summary=None: 
Cexcelsa_scaf_2,27497945,g44174.,gene,AT1G61370.1,Note=S-locus lectin protein kinase family protein: conf_class=6: computational_description=S-locus lectin protein kinase family protein: conf_rating=**: symbol=None: curator_summary=None: 
Cexcelsa_scaf_2,35051728,g45818.,gene,AT1G69830.1,Note=alpha-amylase-like 3: curator_summary=Encodes a plastid-localized α-amylase. Expression is reduced in the SEX4 mutant. Loss of function mutations show normal diurnal pattern of starch accumulation/degradation.  Expression follows circadian rhythms.: symbol=AMY3: full_name=alpha-amylase-like 3: computational_description=alpha-amylase-like 3: conf_class=2: conf_rating=****: 
Cexcelsa_scaf_2,37418976,g46370.,gene,AT1G77520.1,Note=O-methyltransferase family protein: conf_class=2: computational_description=O-methyltransferase family protein: conf_rating=****: symbol=None: curator_summary=None: 
Cexcelsa_scaf_2,38732798,g46690.,gene,AT5G39680.1,Note=Pentatricopeptide repeat (PPR) superfamily protein: symbol=EMB2744: full_name=EMBRYO DEFECTIVE 2744: computational_description=Pentatricopeptide repeat (PPR) superfamily protein: conf_class=1: conf_rating=*****: curator_summary=None: 
Cexcelsa_scaf_2,41701626,g47233.,gene,AT4G17690.1,Note=Peroxidase superfamily protein: conf_class=1: computational_description=Peroxidase superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
Cexcelsa_scaf_6,273695,g49351.,gene,AT1G01070.1,Note=nodulin MtN21 /EamA-like transporter family protein: curator_summary=Encodes a plasma membrane-localized amino acid transporter likely involved in amino acid export in the developing seed.: symbol=UMAMIT28: full_name=Usually multiple acids move in and out Transporters 28: computational_description=nodulin MtN21 /EamA-like transporter family protein: conf_class=2: conf_rating=****: conf_class=1: conf_rating=*****: 
Cexcelsa_scaf_6,2320034,g49965.,gene,AT1G16270.2,Note=Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain: computational_description=kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein: conf_class=4: conf_rating=***: symbol=B4: curator_summary=None: 
Cexcelsa_scaf_6,9036358,g51370.,gene,AT2G33585.1,Note=None: conf_class=4: computational_description=subtilisin-like protease: conf_rating=***: symbol=None: curator_summary=None: 
,,,,,
Cochlearia ID,SNPs in Gene,A. thaliana Ortholog ID,Protien Name,,
g235.t1,3,AT5G64390.3,RNA-Binding KH Domain-Containing Protein,,
g382.t1,1,AT2G42975.1,Myosin-G Heavy Chain-Like Protein,,
g1209.t1,1,AT2G33070.3,Nitrile Specifier Protein 2,,
g1270.t1,1,AT4G23160.2,Cysteine-Rich Receptor-Like Kinase 8,,
g1363.t1,1,AT4G23160.2,Cysteine-Rich Receptor-Like Kinase 8,,
g1889.t1,1,AT2G09388.1,Hypothetical Protein,,
g2635.t1,1,AT3G49210.1,O-Acyltransferase (WSD1-Like) Family Protein,,
g5070.t1,1,AT5G16070.1,TCP-1/cpn60 Chaperonin Family Protein,,
g5295.t1,13,AT5G13000.1,Glucan Synthase-Like 12,,
g7575.t1,1,AT3G07640.1,Period Circadian Protein,,
g7632.t1,1,AT3G66658.2,Aldehyde Dehydrogenase 22A1,,
g12064.t1,1,AT3G16890.1,Pentatricopeptie Domain Protein 40,,
g13319.t1,5,AT3G18750.3,With No Lysine Kinase 6,,
g13461.t1,1,AT3G23255.2,tRNA Dimethyltransferase,,
g15804.t1,3,AT4G23160.2,Cysteine-Rich Receptor-Like Kinase 8,,
g15808.t1,2,AT4G23160.2,Cysteine-Rich Receptor-Like Kinase 8,,
g15810.t1,1,AT4G23160.2,Cysteine-Rich Receptor-Like Kinase 8,,
g17141.t1,2,AT4G26120.2,Ankyrin Repeat Family Protein,,
g18703.t1,1,AT3G63450.4,RNA-Binding (RRM/RBD/RNP Motifs) Family Protein,,
g18705.t1,1,AT3G63470.1,Serine Carboxypeptidase-Like 40,,
g18780.t1,2,AT3G63280.4,NIMA-Related Kinase 4,,
g18836.t1,1,AT3G60290.1,2-Oxoglutarate and Fe2+ Dependant Oxygenase Superfamily Protein ,,
g18903.t1,1,AT3G59220.1,Pirin,,
g18966.t1,1,AT3G58050.2,Hypothetical Protein,,
g19108.t1,5,AT3G55270.1,Mitogen-Activated Protein Kinase Phosphotase 1,,
g19195.t1,1,AT3G53460.4,Chloroplast RNA-Binding Protein 29,,
g19212.t1,4,AT1G06720.2,P-Loop Containing Nucleoside Triphosphate Hydrolases Superfamily Protein,,
g19250.t1,1,AT3G52450.1,Plant U-Box 22,,
g19297.t1,1,AT3G51610.1,No Primexine an Plasma Membrane Undulation,,
g19305.t1,1,AT3G51550.1,Malectin/Receptor-Like Protein Kinase Family Protein,,
g28485.t1,1,AT5G54540.1,Uncharacterised Conserved Protein,,
g28548.t1,2,AT5G56190.7,Transducin/WD40 Repeat -Like Superfamily Protein,,
g28693.t1,1,AT5G58240.1,Fragile Histidine Triad,,
g29666.t1,4,AT5G06600.1,Ubiquitin-Specific Protease 12,,
g30748.t1,1,AT1G01340.2,Cyclic Nucleotide Gated Channel 10,,
g31554.t1,1,AT1G14790.1,RNA-Dependent RNA Polymerase 1,,
g31967.t1,1,AT1G21100.1,O-Methyltransferase Family Protein,,
g32691.t1,1,AT4G22390.1,F-Box Associated Ubiquitination Effector Family Protein,,
g33430.t1,3,AT5G02880.1,Ubiquitin-Protein Ligase 4,,
g33432.t1,1,AT4G23160.2,Cysteine-Rich Receptor-Like Kinase 8,,
g38122.t1,1,AT2G39260.1,Regulator of Nonsense Transcripts UPF2,,
g38124.t1,2,AT2G39350.1,ABC-2 Type Transporter Family Protein,,
g38527.t1,1,AT2G21520.3,Sec14p-Like Phosphatidylinositol Transfer Family Protein,,
g40268.t1,2,AT4G09680.1,Conserved Telomere Maintenance Component 1,,
g40302.t1,1,AT4G10310.1,High-Affinity K+ Transporter 1 (HKT1),,
g43710.t1,1,AT2G38430.1,Hypothetical Protein,,
g44174.t1,2,AT1G61370.1,S-Locus Lectin Protein Kinase Family Protein,,
g45818.t1,2,AT1G69830.1,?-Amylase-Like 3,,
g46370.t1,2,AT1G77520.1,O-Methyltransferase Family Protein,,
g46690.t1,1,AT5G39680.1,Pentatricopeptide Repeat Superfamily Protein,,
g47233.t1,1,AT4G17690.1,Peroxidase Superfamily Protein,,
g49351.t1,1,AT1G01070.1,Nodulin MtN21/EamA-Like Transporter Family Protein,,
g49965.t1,1,AT1G16270.2,Protein Kinase Superfamily Protein with Octicosapeptide/Phox/Bem1p Domain,,
g51370.t1,2,AT2G33585.1,Subtilisin-Like Protease,,
